File: weaviate
Type: inuse_space
Time: Mar 7, 2024 at 1:10pm (CET)
Showing nodes accounting for 2099.83MB, 96.06% of 2186.05MB total
Dropped 251 nodes (cum <= 10.93MB)
      flat  flat%   sum%        cum   cum%
         0     0% 96.06%       17MB  0.78%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*Bucket).SetAdd
         0     0% 96.06%    12.50MB  0.57%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*Memtable).append
         0     0% 96.06%    13.61MB  0.62%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*Memtable).appendMapSorted
         0     0% 96.06%    64.01MB  2.93%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*Memtable).roaringSetAddList
         0     0% 96.06%    48.51MB  2.22%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*Memtable).roaringSetAddOne (inline)
         0     0% 96.06%    13.11MB   0.6%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*binarySearchTreeMap).insert
         0     0% 96.06%    12.50MB  0.57%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*binarySearchTreeMulti).insert
         0     0% 96.06%    84.01MB  3.84%  github.com/weaviate/weaviate/adapters/repos/db/roaringset.(*BinarySearchTree).Insert
         0     0% 96.06%   575.13MB 26.31%  github.com/weaviate/weaviate/adapters/repos/db/roaringset.NewBitmap
         0     0% 96.06%    22.38MB  1.02%  github.com/weaviate/weaviate/adapters/repos/db/vector/compressionhelpers.(*quantizedVectorsCompressor[go.shape.uint64]).GrowCache
         0     0% 96.06%   168.53MB  7.71%  github.com/weaviate/weaviate/adapters/repos/db/vector/compressionhelpers.(*quantizedVectorsCompressor[go.shape.uint64]).Preload
         0     0% 96.06%   602.49MB 27.56%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*Deserializer).Do
         0     0% 96.06%   603.65MB 27.61%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*MemoryCondensor).Do
         0     0% 96.06%   699.79MB 32.01%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*hnsw).Add
         0     0% 96.06%   390.06MB 17.84%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*hnsw).findAndConnectNeighbors
         0     0% 96.06%    30.94MB  1.42%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*hnsw).growIndexToAccomodateNode
         0     0% 96.06%    12.07MB  0.55%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*hnsw).normalizeVec
         0     0% 96.06%   603.65MB 27.61%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*hnswCommitLogger).condenseOldLogs
