File: weaviate
Type: inuse_space
Time: Mar 7, 2024 at 12:56pm (CET)
Showing nodes accounting for 1803.54MB, 96.36% of 1871.64MB total
Dropped 177 nodes (cum <= 9.36MB)
      flat  flat%   sum%        cum   cum%
  403.31MB 21.55% 21.55%   403.31MB 21.55%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*vertex).appendConnectionAtLevelNoLock
  316.42MB 16.91% 38.45%   316.42MB 16.91%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*Deserializer).ReadAddLinks
  275.23MB 14.71% 53.16%      280MB 14.96%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*Deserializer).ReadLinks
  256.07MB 13.68% 66.84%   256.07MB 13.68%  github.com/weaviate/sroar.(*Bitmap).fastExpand
  135.53MB  7.24% 74.08%   136.03MB  7.27%  github.com/weaviate/weaviate/adapters/repos/db/vector/compressionhelpers.(*ProductQuantizer).Encode
   69.51MB  3.71% 77.80%   160.52MB  8.58%  github.com/weaviate/sroar.NewBitmapWith
      64MB  3.42% 81.22%       64MB  3.42%  github.com/weaviate/weaviate/adapters/repos/db/vector/compressionhelpers.(*ProductQuantizer).buildGlobalDistances
   40.56MB  2.17% 83.38%    40.56MB  2.17%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*binarySearchNodeMap).insert
      39MB  2.08% 85.47%   364.58MB 19.48%  github.com/weaviate/weaviate/adapters/repos/db/roaringset.(*BinarySearchNode).insert
   37.23MB  1.99% 87.46%    37.23MB  1.99%  github.com/weaviate/weaviate/entities/storobj.(*Object).MarshalBinary
   36.71MB  1.96% 89.42%    36.71MB  1.96%  github.com/weaviate/weaviate/usecases/byteops.Float32FromByteVector (inline)
   32.50MB  1.74% 91.15%   609.86MB 32.58%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*hnsw).AddBatch
      32MB  1.71% 92.86%       32MB  1.71%  github.com/weaviate/sroar.init
   14.96MB   0.8% 93.66%    14.96MB   0.8%  github.com/weaviate/weaviate/adapters/repos/db/vector/cache.(*shardedLockCache[go.shape.uint8]).Grow
   12.50MB  0.67% 94.33%   553.98MB 29.60%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*hnsw).addOne
    9.92MB  0.53% 94.86%     9.92MB  0.53%  github.com/weaviate/weaviate/adapters/repos/db.New
    9.74MB  0.52% 95.38%     9.74MB  0.52%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.growIndexToAccomodateNode
    9.64MB  0.51% 95.90%     9.64MB  0.51%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw/visited.NewList (inline)
    6.50MB  0.35% 96.24%   409.81MB 21.90%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*neighborFinderConnector).doAtLevel
    1.20MB 0.064% 96.31%    38.41MB  2.05%  github.com/weaviate/weaviate/adapters/handlers/grpc/v1.batchFromProto
    0.50MB 0.027% 96.33%    65.73MB  3.51%  github.com/weaviate/weaviate/adapters/repos/db.(*objectsBatcher).storeSingleBatchInLSM.func1
