File: weaviate
Type: inuse_space
Time: Mar 7, 2024 at 1:00pm (CET)
Showing nodes accounting for 1885.59MB, 95.87% of 1966.79MB total
Dropped 156 nodes (cum <= 9.83MB)
      flat  flat%   sum%        cum   cum%
  496.87MB 25.26% 25.26%   507.60MB 25.81%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*Deserializer).ReadLinks
  476.37MB 24.22% 49.48%   476.37MB 24.22%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*vertex).appendConnectionAtLevelNoLock
  315.59MB 16.05% 65.53%   315.59MB 16.05%  github.com/weaviate/sroar.(*Bitmap).fastExpand
  162.54MB  8.26% 73.79%   163.04MB  8.29%  github.com/weaviate/weaviate/adapters/repos/db/vector/compressionhelpers.(*ProductQuantizer).Encode
   86.01MB  4.37% 78.17%   199.03MB 10.12%  github.com/weaviate/sroar.NewBitmapWith
      64MB  3.25% 81.42%       64MB  3.25%  github.com/weaviate/weaviate/adapters/repos/db/vector/compressionhelpers.(*ProductQuantizer).buildGlobalDistances
   46.50MB  2.36% 83.79%   448.10MB 22.78%  github.com/weaviate/weaviate/adapters/repos/db/roaringset.(*BinarySearchNode).insert
   37.55MB  1.91% 85.69%    37.55MB  1.91%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*Deserializer).ReadAddLinks
      37MB  1.88% 87.58%   728.82MB 37.06%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*hnsw).AddBatch
   33.70MB  1.71% 89.29%    33.70MB  1.71%  github.com/weaviate/weaviate/usecases/byteops.Float32FromByteVector (inline)
      32MB  1.63% 90.92%       32MB  1.63%  github.com/weaviate/sroar.init
   19.90MB  1.01% 91.93%    19.90MB  1.01%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*binarySearchNodeMap).insert
   18.69MB  0.95% 92.88%    18.69MB  0.95%  github.com/weaviate/weaviate/adapters/repos/db/vector/cache.(*shardedLockCache[go.shape.uint8]).Grow
   16.95MB  0.86% 93.74%    16.95MB  0.86%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.growIndexToAccomodateNode
      15MB  0.76% 94.50%   662.35MB 33.68%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*hnsw).addOne
    9.92MB   0.5% 95.01%     9.92MB   0.5%  github.com/weaviate/weaviate/adapters/repos/db.New
    9.88MB   0.5% 95.51%     9.88MB   0.5%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw/visited.NewList (inline)
       6MB  0.31% 95.81%   487.40MB 24.78%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*neighborFinderConnector).doAtLevel
    0.62MB 0.031% 95.85%    34.31MB  1.74%  github.com/weaviate/weaviate/adapters/handlers/grpc/v1.batchFromProto
    0.50MB 0.025% 95.87%   164.54MB  8.37%  github.com/weaviate/weaviate/adapters/repos/db/vector/compressionhelpers.(*quantizedVectorsCompressor[go.shape.uint8]).Preload
         0     0% 95.87%   202.57MB 10.30%  github.com/weaviate/sroar.(*Bitmap).Set
         0     0% 95.87%   202.57MB 10.30%  github.com/weaviate/sroar.(*Bitmap).SetMany (inline)
         0     0% 95.87%   315.59MB 16.05%  github.com/weaviate/sroar.(*Bitmap).newContainer
         0     0% 95.87%   199.03MB 10.12%  github.com/weaviate/sroar.NewBitmap (inline)
         0     0% 95.87%    36.44MB  1.85%  github.com/weaviate/weaviate/adapters/handlers/grpc/v1.(*Service).BatchObjects
         0     0% 95.87%    11.43MB  0.58%  github.com/weaviate/weaviate/adapters/handlers/rest.(*Server).ConfigureAPI (inline)
         0     0% 95.87%     9.92MB   0.5%  github.com/weaviate/weaviate/adapters/handlers/rest.MakeAppState
         0     0% 95.87%    11.43MB  0.58%  github.com/weaviate/weaviate/adapters/handlers/rest.configureAPI
         0     0% 95.87%   728.82MB 37.06%  github.com/weaviate/weaviate/adapters/repos/db.(*DB).worker
         0     0% 95.87%    13.50MB  0.69%  github.com/weaviate/weaviate/adapters/repos/db.(*Shard).AnalyzeObject
         0     0% 95.87%    22.40MB  1.14%  github.com/weaviate/weaviate/adapters/repos/db.(*Shard).addToPropertyMapBucket
         0     0% 95.87%       29MB  1.47%  github.com/weaviate/weaviate/adapters/repos/db.(*Shard).addToPropertySetBucket
         0     0% 95.87%    48.40MB  2.46%  github.com/weaviate/weaviate/adapters/repos/db.(*Shard).addToPropertyValueIndex
         0     0% 95.87%       35MB  1.78%  github.com/weaviate/weaviate/adapters/repos/db.(*Shard).extendInvertedIndicesLSM
         0     0% 95.87%    45.53MB  2.32%  github.com/weaviate/weaviate/adapters/repos/db.(*Shard).putObjectLSM
         0     0% 95.87%       43MB  2.19%  github.com/weaviate/weaviate/adapters/repos/db.(*Shard).updateInvertedIndexLSM
         0     0% 95.87%   728.82MB 37.06%  github.com/weaviate/weaviate/adapters/repos/db.(*Shard).updateVectorIndexIgnoreDelete
         0     0% 95.87%    44.53MB  2.26%  github.com/weaviate/weaviate/adapters/repos/db.(*objectsBatcher).storeObjectOfBatchInLSM
         0     0% 95.87%    41.53MB  2.11%  github.com/weaviate/weaviate/adapters/repos/db.(*objectsBatcher).storeSingleBatchInLSM.func1
         0     0% 95.87%   728.82MB 37.06%  github.com/weaviate/weaviate/adapters/repos/db.(*objectsBatcher).storeSingleObjectInAdditionalStorage
         0     0% 95.87%    13.50MB  0.69%  github.com/weaviate/weaviate/adapters/repos/db/inverted.(*Analyzer).Object
         0     0% 95.87%    22.40MB  1.14%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*Bucket).MapSet
         0     0% 95.87%       31MB  1.58%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*Bucket).RoaringSetAddOne
         0     0% 95.87%       14MB  0.71%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*Bucket).SetAdd
         0     0% 95.87%    22.40MB  1.14%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*Memtable).appendMapSorted
         0     0% 95.87%    42.51MB  2.16%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*Memtable).roaringSetAddList
         0     0% 95.87%       31MB  1.58%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*Memtable).roaringSetAddOne (inline)
         0     0% 95.87%    19.90MB  1.01%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*binarySearchTreeMap).insert
         0     0% 95.87%    60.51MB  3.08%  github.com/weaviate/weaviate/adapters/repos/db/roaringset.(*BinarySearchTree).Insert
         0     0% 95.87%   401.59MB 20.42%  github.com/weaviate/weaviate/adapters/repos/db/roaringset.NewBitmap
         0     0% 95.87%       64MB  3.25%  github.com/weaviate/weaviate/adapters/repos/db/vector/compressionhelpers.(*ProductQuantizer).Fit
         0     0% 95.87%    18.69MB  0.95%  github.com/weaviate/weaviate/adapters/repos/db/vector/compressionhelpers.(*quantizedVectorsCompressor[go.shape.uint8]).GrowCache
         0     0% 95.87%    21.01MB  1.07%  github.com/weaviate/weaviate/adapters/repos/db/vector/compressionhelpers.Concurrently.func1
         0     0% 95.87%       64MB  3.25%  github.com/weaviate/weaviate/adapters/repos/db/vector/compressionhelpers.NewHNSWPQCompressor
         0     0% 95.87%   548.66MB 27.90%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*Deserializer).Do
         0     0% 95.87%   549.82MB 27.95%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*MemoryCondensor).Do
         0     0% 95.87%   728.82MB 37.06%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*hnsw).Add
         0     0% 95.87%       64MB  3.25%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*hnsw).compress
         0     0% 95.87%    19.50MB  0.99%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*hnsw).compress.func1
         0     0% 95.87%       64MB  3.25%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*hnsw).compressThenCallback
         0     0% 95.87%   487.40MB 24.78%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*hnsw).findAndConnectNeighbors
         0     0% 95.87%    28.46MB  1.45%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*hnsw).growIndexToAccomodateNode
         0     0% 95.87%   549.82MB 27.95%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*hnswCommitLogger).condenseOldLogs
         0     0% 95.87%   549.82MB 27.95%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*hnswCommitLogger).startCombineAndCondenseLogs
         0     0% 95.87%   487.40MB 24.78%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*neighborFinderConnector).Do
         0     0% 95.87%   478.38MB 24.32%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*neighborFinderConnector).connectNeighborAtLevel
         0     0% 95.87%   558.37MB 28.39%  github.com/weaviate/weaviate/entities/cyclemanager.(*cycleCallbackGroup).CycleCallback
         0     0% 95.87%   558.37MB 28.39%  github.com/weaviate/weaviate/entities/cyclemanager.(*cycleCallbackGroup).cycleCallbackParallel.func1
