File: weaviate
Type: inuse_space
Time: Mar 7, 2024 at 1:08pm (CET)
Showing nodes accounting for 1299.56MB, 92.19% of 1409.62MB total
Dropped 290 nodes (cum <= 7.05MB)
      flat  flat%   sum%        cum   cum%
  286.58MB 20.33% 20.33%   286.58MB 20.33%  github.com/weaviate/sroar.(*Bitmap).fastExpand
  281.24MB 19.95% 40.28%   282.24MB 20.02%  github.com/weaviate/weaviate/entities/storobj.(*Object).MarshalBinary
  239.13MB 16.96% 57.25%   239.13MB 16.96%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*vertex).appendConnectionAtLevelNoLock
  106.52MB  7.56% 64.80%   106.52MB  7.56%  github.com/weaviate/weaviate/adapters/repos/db/vector/compressionhelpers.BinaryQuantizer.Encode
   90.51MB  6.42% 71.22%   207.03MB 14.69%  github.com/weaviate/sroar.NewBitmapWith
   45.50MB  3.23% 74.45%   422.09MB 29.94%  github.com/weaviate/weaviate/adapters/repos/db/roaringset.(*BinarySearchNode).insert
   37.50MB  2.66% 77.11%   457.11MB 32.43%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*hnsw).AddBatch
   37.03MB  2.63% 79.74%    37.03MB  2.63%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*binarySearchNodeMap).insert
   34.70MB  2.46% 82.20%    34.70MB  2.46%  github.com/weaviate/weaviate/usecases/byteops.Float32FromByteVector (inline)
      32MB  2.27% 84.47%       32MB  2.27%  github.com/weaviate/sroar.init
   17.50MB  1.24% 85.71%    17.50MB  1.24%  github.com/spaolacci/murmur3.New128WithSeed
   16.84MB  1.19% 86.91%    23.34MB  1.66%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv/segmentindex.(*DiskTree).AllKeys
   14.34MB  1.02% 87.93%    14.34MB  1.02%  github.com/weaviate/weaviate/adapters/repos/db/vector/cache.(*shardedLockCache[go.shape.uint64]).Grow
   13.58MB  0.96% 88.89%    13.58MB  0.96%  github.com/weaviate/weaviate/adapters/repos/db/vector/compressionhelpers.(*quantizedDistanceBag[go.shape.uint64]).Load
      13MB  0.92% 89.81%   396.48MB 28.13%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*hnsw).addOne
    9.92MB   0.7% 90.51%     9.92MB   0.7%  github.com/weaviate/weaviate/adapters/repos/db.New
    7.74MB  0.55% 91.06%     7.74MB  0.55%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw/visited.NewList (inline)
       5MB  0.35% 91.42%   259.22MB 18.39%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*neighborFinderConnector).doAtLevel
    4.89MB  0.35% 91.77%    13.40MB  0.95%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*Memtable).put
    2.51MB  0.18% 91.94%     8.26MB  0.59%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*Memtable).flushDataReplace
    1.50MB  0.11% 92.05%     9.24MB  0.66%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*hnsw).searchLayerByVectorWithDistancer
    0.50MB 0.036% 92.09%    14.08MB     1%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*hnsw).selectNeighborsHeuristic
    0.50MB 0.035% 92.12%       11MB  0.78%  github.com/weaviate/weaviate/adapters/repos/db/inverted.(*Analyzer).Object
    0.50MB 0.035% 92.16%    28.53MB  2.02%  github.com/weaviate/weaviate/adapters/repos/db.(*Shard).addToPropertyMapBucket
    0.50MB 0.035% 92.19%   333.27MB 23.64%  github.com/weaviate/weaviate/adapters/repos/db.(*objectsBatcher).storeObjectOfBatchInLSM
         0     0% 92.19%    17.50MB  1.24%  github.com/spaolacci/murmur3.New128 (inline)
         0     0% 92.19%   170.06MB 12.06%  github.com/weaviate/sroar.(*Bitmap).Set
         0     0% 92.19%   170.06MB 12.06%  github.com/weaviate/sroar.(*Bitmap).SetMany (inline)
         0     0% 92.19%   286.58MB 20.33%  github.com/weaviate/sroar.(*Bitmap).newContainer
         0     0% 92.19%   207.03MB 14.69%  github.com/weaviate/sroar.NewBitmap (inline)
         0     0% 92.19%    38.22MB  2.71%  github.com/weaviate/weaviate/adapters/handlers/grpc/v1.(*Service).BatchObjects
         0     0% 92.19%    34.70MB  2.46%  github.com/weaviate/weaviate/adapters/handlers/grpc/v1.batchFromProto
         0     0% 92.19%    10.44MB  0.74%  github.com/weaviate/weaviate/adapters/handlers/rest.(*Server).ConfigureAPI (inline)
         0     0% 92.19%     9.92MB   0.7%  github.com/weaviate/weaviate/adapters/handlers/rest.MakeAppState
         0     0% 92.19%    10.44MB  0.74%  github.com/weaviate/weaviate/adapters/handlers/rest.configureAPI
