File: weaviate
Type: inuse_space
Time: Mar 7, 2024 at 12:52pm (CET)
Showing nodes accounting for 1049.89MB, 95.18% of 1103.03MB total
Dropped 146 nodes (cum <= 5.52MB)
      flat  flat%   sum%        cum   cum%
         0     0% 95.18%     6.50MB  0.59%  github.com/weaviate/weaviate/adapters/repos/db/inverted.(*Analyzer).analyzePrimitiveProp
         0     0% 95.18%        7MB  0.63%  github.com/weaviate/weaviate/adapters/repos/db/inverted.(*Analyzer).analyzeProps
         0     0% 95.18%     6.50MB  0.59%  github.com/weaviate/weaviate/adapters/repos/db/inverted.(*Analyzer).extendPropertiesWithPrimitive
         0     0% 95.18%    22.61MB  2.05%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*Bucket).MapSet
         0     0% 95.18%     6.70MB  0.61%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*Bucket).Put
         0     0% 95.18%       31MB  2.81%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*Bucket).RoaringSetAddOne
         0     0% 95.18%    16.50MB  1.50%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*Bucket).SetAdd
         0     0% 95.18%    11.50MB  1.04%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*Memtable).append
         0     0% 95.18%    22.61MB  2.05%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*Memtable).appendMapSorted
         0     0% 95.18%    42.51MB  3.85%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*Memtable).roaringSetAddList
         0     0% 95.18%       31MB  2.81%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*Memtable).roaringSetAddOne (inline)
         0     0% 95.18%    56.05MB  5.08%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*SegmentGroup).compactIfLevelsMatch
         0     0% 95.18%    56.05MB  5.08%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*SegmentGroup).compactOnce
         0     0% 95.18%        6MB  0.54%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*binarySearchTree).insert
         0     0% 95.18%    20.61MB  1.87%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*binarySearchTreeMap).insert
         0     0% 95.18%    11.50MB  1.04%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*binarySearchTreeMulti).insert
         0     0% 95.18%    51.97MB  4.71%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*compactorReplace).do
         0     0% 95.18%    49.30MB  4.47%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*segmentCursorReplace).nextWithAllKeys
         0     0% 95.18%    49.30MB  4.47%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*segmentCursorReplace).parseReplaceNode
         0     0% 95.18%    59.51MB  5.40%  github.com/weaviate/weaviate/adapters/repos/db/roaringset.(*BinarySearchTree).Insert
         0     0% 95.18%   254.06MB 23.03%  github.com/weaviate/weaviate/adapters/repos/db/roaringset.NewBitmap
         0     0% 95.18%       64MB  5.80%  github.com/weaviate/weaviate/adapters/repos/db/vector/compressionhelpers.(*ProductQuantizer).Fit
         0     0% 95.18%    11.98MB  1.09%  github.com/weaviate/weaviate/adapters/repos/db/vector/compressionhelpers.(*quantizedVectorsCompressor[go.shape.uint8]).GrowCache
         0     0% 95.18%    21.01MB  1.90%  github.com/weaviate/weaviate/adapters/repos/db/vector/compressionhelpers.Concurrently.func1
         0     0% 95.18%       64MB  5.80%  github.com/weaviate/weaviate/adapters/repos/db/vector/compressionhelpers.NewHNSWPQCompressor
         0     0% 95.18%   515.32MB 46.72%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*hnsw).Add
         0     0% 95.18%       64MB  5.80%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*hnsw).compress
         0     0% 95.18%    19.50MB  1.77%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*hnsw).compress.func1
         0     0% 95.18%       64MB  5.80%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*hnsw).compressThenCallback
         0     0% 95.18%   344.28MB 31.21%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*hnsw).findAndConnectNeighbors
         0     0% 95.18%    18.52MB  1.68%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*hnsw).growIndexToAccomodateNode
         0     0% 95.18%   344.28MB 31.21%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*neighborFinderConnector).Do
         0     0% 95.18%   334.26MB 30.30%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*neighborFinderConnector).connectNeighborAtLevel
         0     0% 95.18%    57.80MB  5.24%  github.com/weaviate/weaviate/entities/cyclemanager.(*cycleCallbackGroup).CycleCallback
         0     0% 95.18%    57.80MB  5.24%  github.com/weaviate/weaviate/entities/cyclemanager.(*cycleCallbackGroup).cycleCallbackParallel.func1
         0     0% 95.18%    57.80MB  5.24%  github.com/weaviate/weaviate/entities/cyclemanager.(*cycleCallbackGroup).cycleCallbackParallel.func1.1
         0     0% 95.18%    57.80MB  5.24%  github.com/weaviate/weaviate/entities/cyclemanager.(*cycleCallbackGroup).cycleCallbackSequential
         0     0% 95.18%    57.80MB  5.24%  github.com/weaviate/weaviate/entities/cyclemanager.(*cycleCallbackGroup).cycleCallbackSequential.func1
         0     0% 95.18%    24.69MB  2.24%  github.com/weaviate/weaviate/grpc/generated/protocol/v1._Weaviate_BatchObjects_Handler
         0     0% 95.18%    24.69MB  2.24%  google.golang.org/grpc.(*Server).handleStream
         0     0% 95.18%    24.69MB  2.24%  google.golang.org/grpc.(*Server).processUnaryRPC
         0     0% 95.18%    24.69MB  2.24%  google.golang.org/grpc.(*Server).serveStreams.func1.1
         0     0% 95.18%    12.43MB  1.13%  main.main
         0     0% 95.18%    34.62MB  3.14%  runtime.doInit (inline)
         0     0% 95.18%    34.62MB  3.14%  runtime.doInit1
         0     0% 95.18%    47.05MB  4.27%  runtime.main
